AC_SERIAL,FAULT_DATE,FAULT_LINE_TEXT,FAULT_ID,ACTION_DATE,ACTION_TEXT,REMOVED_PART_NUMBER,REMOVED_PART_SERIAL,INSTALLED_PART_NUMBER,INSTALLED_PART_SERIAL,WDC,WDC Description,TMC,TMC Description,ATC,ATC Description,HMC,HMC Description,P
215297.0,2008-12-19,#1 ENG CHIP ON BRIEFLY (ONCE)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,38058,2008-12-19,#1 ENG CHIP PLUG INSPECTED                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,,,,,M,PERIODIC/SCHEDULED INSP,P,PERIODIC/PHASED INSPECTION,X,TEST - INSPECT - SERVICE,644,BUILT-IN-TEST/AUTOTEST/DIAG INDICATED FAULT,0
659306.0,2009-03-13,#1 ENG CROSS BLEED LINE ROBBED TO SERVICE MCH                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,38657,2009-03-13,AIRSTART LINE & SEAL INSTALLED                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,,,,,F,BETWEEN FLT; UNSCHEDULED MAINT,B,UNSCHEDULED MAINTENANCE,Q,INSTALLED,799,NO DEFECT,0
601283.0,2007-05-25,#1 ENG FALSE FIRE INDICATIONS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,37787,2007-05-25,#1 ENG FLAME DETECTORS REPLACED                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,,,,,F,BETWEEN FLT; UNSCHEDULED MAINT,B,UNSCHEDULED MAINTENANCE,R,REMOVE AND REPLACE,644,BUILT-IN-TEST/AUTOTEST/DIAG INDICATED FAULT,0
387821.0,2007-01-14,#1 ENG FUEL PRESSURE SWITCH REMOVED TO SERVICE GSCH                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,38579,2007-01-14,FUEL PRESSURE SWITCH ON #1 ENGINE REPLACED                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,,,,,F,BETWEEN FLT; UNSCHEDULED MAINT,B,UNSCHEDULED MAINTENANCE,S,REMOVE AND REINSTALL,800,"NO DEFECT, REMOVED/REINSTALLED TO FACILITATE OTHER MAINTENAN",0
215297.0,2009-04-01,#1 ENG HIGH SPEED SHAFT VIBE CHECK TO BE COMPLETED                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,38570,2009-04-01,#1 ENG HIGH SPEED SHAFT BALANCED TO 0.327 IPS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,,,,,M,PERIODIC/SCHEDULED INSP,P,PERIODIC/PHASED INSPECTION,G,"REPAIR OF MINOR PARTS, H/W OR S/W",693,AUDIO FAULTY,0
601283.0,2007-08-23,#1 ENG INLET ANTI-ICE INTERMITTANT                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,38129,2007-08-23,AIR INLET REPLACED                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,,,,,D,INFLIGHT; EQ OP - NO DOWNTIME,B,UNSCHEDULED MAINTENANCE,R,REMOVE AND REPLACE,644,BUILT-IN-TEST/AUTOTEST/DIAG INDICATED FAULT,1
537340.0,2008-05-30,#1 ENGINE EXHAUST BIPOD ASSY REMOVED                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,37764,2008-05-30,#1 ENG EXHAUST & BIPOD ASSY INSTALLED                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,,,,,F,BETWEEN FLT; UNSCHEDULED MAINT,B,UNSCHEDULED MAINTENANCE,Q,INSTALLED,799,NO DEFECT,1
458276.0,2010-07-27,#1 ENGINE INLET ANTI ICE INTERMITTENT                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,37870,2010-07-27,#1 ENGINE INLET REPLACED                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,,,,,D,INFLIGHT; EQ OP - NO DOWNTIME,B,UNSCHEDULED MAINTENANCE,R,REMOVE AND REPLACE,290,FAILS DIAGNOSTIC/AUTOMATIC TEST (PUT FAULT CODE IN NARRATIVE,1
601283.0,2007-08-10,ENGINE INLET ANTI-ICE #1 INTERMITTENT                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,38063,2007-08-10,#1 INLET CONTROLLER RESET GROUND CHECKED SERVICEABLE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,,,,,D,INFLIGHT; EQ OP - NO DOWNTIME,B,UNSCHEDULED MAINTENANCE,X,TEST - INSPECT - SERVICE,290,FAILS DIAGNOSTIC/AUTOMATIC TEST (PUT FAULT CODE IN NARRATIVE,1
593535.0,2011-12-07,#1 ENGINE INLET U/S.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,38622,2011-12-07,#1 ENGINE INLET REPLACED. WSP 1351700.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,,,,,F,BETWEEN FLT; UNSCHEDULED MAINT,B,UNSCHEDULED MAINTENANCE,R,REMOVE AND REPLACE,644,BUILT-IN-TEST/AUTOTEST/DIAG INDICATED FAULT,0
215297.0,2009-03-30,#1 ENGINE INPUT SEAL LEAKING                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,38543,2009-03-30,#1 ENGINE INPUT SEAL REPLACED                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,,,,,F,BETWEEN FLT; UNSCHEDULED MAINT,B,UNSCHEDULED MAINTENANCE,R,REMOVE AND REPLACE,381,"LEAKING, INTERNAL OR EXTERNAL",0
