AC_SERIAL,FAULT_DATE,FAULT_LINE_TEXT,FAULT_ID,ACTION_DATE,ACTION_TEXT,REMOVED_PART_NUMBER,REMOVED_PART_SERIAL,INSTALLED_PART_NUMBER,INSTALLED_PART_SERIAL,WDC,WDC Description,TMC ,TMC Description,ATC,ATC Description,HMC,HMC Description
215297.0,2009-04-16,#1 AIR INLET ASSY TO BE REPLACED ANTI CHAFE TAB BENT CAUSING DAMAGETO CROTCH ASSY                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,38617.0,2009-04-16,#1 AIR INLET ASSY REPLACED                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,,,,,F,BETWEEN FLT; UNSCHEDULED MAINT,B,UNSCHEDULED MAINTENANCE,R,REMOVE AND REPLACE,311,"DAMAGED/DEFECTIVE COMPONENT, BULB, TRANSISTER, IC, FUSE, ECT"
841501.0,2010-06-01,#1 AND #2 ENGINE INLETS TO BE INSPECTED FOR WIRE CHAFING.,37829.0,2010-06-01,#1 AND #2 ENGINE INLETS INSPECTED. NO FAULTS FOUND. WSP 3036425.,,,,,F,BETWEEN FLT; UNSCHEDULED MAINT,B,UNSCHEDULED MAINTENANCE,X,TEST - INSPECT - SERVICE,20,"CUT, WORN, FRAYED, CHAFFED, OR TORN"
841501.0,2010-06-01,#1 AND #2 ENGINE INLETS TO BE INSPECTED FOR WIRE CHAFING.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,37828.0,2010-06-01,#1 AND #2 ENGINE INLETS INSPECTED. NO FAULTS FOUND. WSP 3036425.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,,,,,F,BETWEEN FLT; UNSCHEDULED MAINT,B,UNSCHEDULED MAINTENANCE,X,TEST - INSPECT - SERVICE,20,"CUT, WORN, FRAYED, CHAFFED, OR TORN"
593535.0,2011-04-28,#1 AND #2 HEAT EXCHANGERS CRACKED.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,37763.0,2011-04-28,#2 HEAT EXCHANGER REPLACED. #1 CARRIED FWD TO WSP 1345799.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,,,,,F,BETWEEN FLT; UNSCHEDULED MAINT,B,UNSCHEDULED MAINTENANCE,R,REMOVE AND REPLACE,190,CRACKED
593535.0,2011-04-28,#1 AND #2 HEAT EXCHANGERS CRACKED.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,37763.0,2011-04-28,Removed: 56099-10104-002  4002-B4017  Installed: 56099-10104-002  B440-00137,56099-10104-002     ,4002-B4017     ,56099-10104-002     ,B440-00137     ,F,BETWEEN FLT; UNSCHEDULED MAINT,B,UNSCHEDULED MAINTENANCE,R,REMOVE AND REPLACE,190,CRACKED
841501.0,2010-07-30,#1 ANTI ICE INTERMITTENT. MEL 30-01 CAT B.,38013.0,2010-07-30,Removed: 91042-08323-010  4301-006B5  Installed: 91042-08323-010  3568-0B200,91042-08323-010,4301-006B5,91042-08323-010,3568-0B200,F,BETWEEN FLT; UNSCHEDULED MAINT,B,UNSCHEDULED MAINTENANCE,R,REMOVE AND REPLACE,290,FAILS DIAGNOSTIC/AUTOMATIC TEST (PUT FAULT CODE IN NARRATIVE
841501.0,2010-07-30,#1 ANTI ICE INTERMITTENT. MEL 30-01 CAT B.,38013.0,2010-08-03,#1 ENGINE INLET REPLACED.,,,,,F,BETWEEN FLT; UNSCHEDULED MAINT,B,UNSCHEDULED MAINTENANCE,R,REMOVE AND REPLACE,290,FAILS DIAGNOSTIC/AUTOMATIC TEST (PUT FAULT CODE IN NARRATIVE
841501.0,2010-07-30,#1 ANTI ICE INTERMITTENT. MEL 30-01 CAT B.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,38010.0,2010-07-30,Removed: 91042-08323-010  4301-006B5  Installed: 91042-08323-010  3568-0B200,91042-08323-010     ,4301-006B5     ,91042-08323-010     ,3568-0B200     ,F,BETWEEN FLT; UNSCHEDULED MAINT,B,UNSCHEDULED MAINTENANCE,R,REMOVE AND REPLACE,290,FAILS DIAGNOSTIC/AUTOMATIC TEST (PUT FAULT CODE IN NARRATIVE
841501.0,2010-07-30,#1 ANTI ICE INTERMITTENT. MEL 30-01 CAT B.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,38010.0,2010-07-30,#1 ENGINE INLET REPLACED.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,,,,,F,BETWEEN FLT; UNSCHEDULED MAINT,B,UNSCHEDULED MAINTENANCE,R,REMOVE AND REPLACE,290,FAILS DIAGNOSTIC/AUTOMATIC TEST (PUT FAULT CODE IN NARRATIVE
659306.0,2008-10-01,#1 CROSS BLEED VALVE STUCK OPEN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,38405.0,2008-10-01,VALVE REPLACED                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,,,,,F,BETWEEN FLT; UNSCHEDULED MAINT,B,UNSCHEDULED MAINTENANCE,R,REMOVE AND REPLACE,135,"BINDING, STUCK, OR JAMMED"
659306.0,2008-10-01,#1 CROSS BLEED VALVE STUCK OPEN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,38405.0,2008-10-01,Removed: 20462-07101-300  21697  Installed: 20462-07101-300  01333,20462-07101-300     ,21697,20462-07101-300     ,1333,F,BETWEEN FLT; UNSCHEDULED MAINT,B,UNSCHEDULED MAINTENANCE,R,REMOVE AND REPLACE,135,"BINDING, STUCK, OR JAMMED"
537340.0,2009-04-25,#1 CROTCH ASSY FOUND DAMAGED TO BE REPLACED                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,38550.0,2009-04-25,Removed: 02283-18103-090  6301-52B10  Installed: 02283-18103-090  0B39-45101,02283-18103-090     ,6301-52B10     ,02283-18103-090     ,0B39-45101     ,F,BETWEEN FLT; UNSCHEDULED MAINT,B,UNSCHEDULED MAINTENANCE,R,REMOVE AND REPLACE,311,"DAMAGED/DEFECTIVE COMPONENT, BULB, TRANSISTER, IC, FUSE, ECT"
537340.0,2009-04-25,#1 CROTCH ASSY FOUND DAMAGED TO BE REPLACED                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,38550.0,2009-04-25,#1 CROTCH ASSY REPLACED                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,,,,,F,BETWEEN FLT; UNSCHEDULED MAINT,B,UNSCHEDULED MAINTENANCE,R,REMOVE AND REPLACE,311,"DAMAGED/DEFECTIVE COMPONENT, BULB, TRANSISTER, IC, FUSE, ECT"
458276.0,2010-07-19,#1 DC FLOAT CB POPS WHEN FLOAT SWITCH SET TO ARM POSITIONMEL 32/04 C/D                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,37839.0,2010-07-19,"EXTENSIVE T/S C/O FOUND A BENT PIN IN CONNECTOR,MAIN CABIN DISCONNECT.THIS PIN IS CONNECTED DIRECTLY TO THE SUSPECT CIRCUIT BREAKER THROUGHTHE FLOAT ARMING SWITCH ON THE CENTER CONSOLE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ",,,,,F,BETWEEN FLT; UNSCHEDULED MAINT,B,UNSCHEDULED MAINTENANCE,G,"REPAIR OF MINOR PARTS, H/W OR S/W",644,BUILT-IN-TEST/AUTOTEST/DIAG INDICATED FAULT
215297.0,2008-12-19,#1 ENG CHIP ON BRIEFLY (ONCE)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,38058.0,2008-12-19,#1 ENG CHIP PLUG INSPECTED                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,,,,,M,PERIODIC/SCHEDULED INSP,P,PERIODIC/PHASED INSPECTION,X,TEST - INSPECT - SERVICE,644,BUILT-IN-TEST/AUTOTEST/DIAG INDICATED FAULT
659306.0,2009-03-13,#1 ENG CROSS BLEED LINE ROBBED TO SERVICE MCH                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,38657.0,2009-03-13,AIRSTART LINE & SEAL INSTALLED                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,,,,,F,BETWEEN FLT; UNSCHEDULED MAINT,B,UNSCHEDULED MAINTENANCE,Q,INSTALLED,799,NO DEFECT
601283.0,2007-05-25,#1 ENG FALSE FIRE INDICATIONS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,37787.0,2007-05-25,#1 ENG FLAME DETECTORS REPLACED                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,,,,,F,BETWEEN FLT; UNSCHEDULED MAINT,B,UNSCHEDULED MAINTENANCE,R,REMOVE AND REPLACE,644,BUILT-IN-TEST/AUTOTEST/DIAG INDICATED FAULT
